comparison,target_model,reference_model,domain,resolution,variable_group,variable,row_label,level_hpa,lead_hour,lead_label,rmse_improvement_pct
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,24,D1,-0.389
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,48,D2,-1.657
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,72,D3,-4.245
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,96,D4,-7.759
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,120,D5,-11.389
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,144,D6,-13.934
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,168,D7,-14.204
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,192,D8,-12.163
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,216,D9,-10.401
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,240,D10,-9.371
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,24,D1,-1.018
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,48,D2,-2.35
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,72,D3,-4.9
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,96,D4,-8.05
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,120,D5,-11.266
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,144,D6,-13.432
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,168,D7,-13.047
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,192,D8,-11.711
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,216,D9,-9.691
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,240,D10,-8.706
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,24,D1,-2.305
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,48,D2,-4.937
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,72,D3,-9.043
nested_global_vs_aifs_regions,Nested-EAGLE-Global (AI),AIFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,96,D4,-14.318
