comparison,target_model,reference_model,domain,resolution,variable_group,variable,row_label,level_hpa,lead_hour,lead_label,rmse_improvement_pct
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,24,D1,-0.04
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,48,D2,-0.561
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,72,D3,-1.63
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,96,D4,-3.049
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,120,D5,-4.637
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,144,D6,-5.626
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,168,D7,-5.541
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,192,D8,-4.578
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,216,D9,-3.405
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,240,D10,-3.056
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,24,D1,-0.341
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,48,D2,-1.001
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,72,D3,-2.132
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,96,D4,-3.105
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,120,D5,-4.174
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,144,D6,-4.907
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,168,D7,-4.864
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,192,D8,-3.974
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,216,D9,-2.719
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,240,D10,-2.846
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,24,D1,-0.972
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,48,D2,-2.324
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,72,D3,-4.008
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,96,D4,-5.43
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,120,D5,-5.903
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,144,D6,-6.378
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,168,D7,-6.321
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,192,D8,-5.658
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,216,D9,-4.084
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 850,850,240,D10,-3.197
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,24,D1,0.951
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,48,D2,-2.844
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,72,D3,-6.062
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,96,D4,-8.311
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,120,D5,-10.003
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,144,D6,-9.954
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,168,D7,-9.215
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,192,D8,-7.744
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,216,D9,-6.155
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 250,250,240,D10,-6.119
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,24,D1,0.146
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,48,D2,-2.403
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,72,D3,-4.095
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,96,D4,-6.097
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,120,D5,-7.232
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,144,D6,-7.194
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,168,D7,-6.699
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,192,D8,-5.997
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,216,D9,-4.954
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 500,500,240,D10,-4.185
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,24,D1,-3.514
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,48,D2,-4.379
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,72,D3,-5.646
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,96,D4,-6.943
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,120,D5,-7.061
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,144,D6,-6.461
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,168,D7,-6.071
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,192,D8,-5.504
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,216,D9,-5.003
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,zonal_wind,zonal_wind,zonal_wind 850,850,240,D10,-3.823
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,24,D1,1.054
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,48,D2,-2.49
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,72,D3,-6.413
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,96,D4,-8.275
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,120,D5,-9.071
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,144,D6,-9.184
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,168,D7,-8.058
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,192,D8,-6.276
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,216,D9,-4.837
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 250,250,240,D10,-4.883
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,24,D1,-0.826
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,48,D2,-3.233
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,72,D3,-5.754
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,96,D4,-7.01
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,120,D5,-6.691
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,144,D6,-6.96
nested_global_vs_aigfs_regions,Nested-EAGLE-Global (AI),AIGFS,global,global 0.25 degree,meridional_wind,meridional_wind,meridional_wind 500,500,168,D7,-6.167
