comparison,target_model,reference_model,domain,resolution,variable_group,variable,row_label,level_hpa,lead_hour,lead_label,rmse_improvement_pct
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,24,D1,-0.041
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,48,D2,-0.085
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,72,D3,-0.255
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,96,D4,-0.255
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,120,D5,0.146
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,144,D6,0.555
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,168,D7,1.437
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,192,D8,2.288
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,216,D9,2.44
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 250,250,240,D10,2.644
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,24,D1,0.154
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,48,D2,0.087
nested_global_vs_gfs_regions,Nested-EAGLE-Global (AI),GFS,global,global 0.25 degree,geopotential_height,geopotential_height,geopotential_height 500,500,72,D3,-0.079
