comparison,target_model,reference_model,domain,resolution,variable_group,variable,row_label,level_hpa,lead_hour,lead_label,rmse_improvement_pct
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 250,250,0,0h,0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 250,250,6,6h,7.538
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 250,250,12,12h,24.852
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 250,250,18,18h,15.997
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 250,250,24,24h,27.12
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 250,250,30,30h,19.458
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 250,250,36,36h,32.145
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 250,250,42,42h,23.855
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 250,250,48,48h,36.599
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 500,500,0,0h,0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 500,500,6,6h,2.172
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 500,500,12,12h,10.641
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 500,500,18,18h,-0.348
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 500,500,24,24h,13.703
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 500,500,30,30h,16.069
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 500,500,36,36h,18.999
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 500,500,42,42h,12.382
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 500,500,48,48h,24.945
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 850,850,0,0h,-0.0
nested_lam_vs_hrrr_conus_6km,Nested-EAGLE-LAM (AI-HR),HRRR,conus,CONUS 6 km,geopotential_height,geopotential_height,geopotential_height 850,850,6,6h,16.953
